subject_code,subject_name,missing_schemes,possible_abbrs,suggested_abbr
22401,HYDRAULICS,"AL4I, CE4C, CE4E, CE4G, CE4I, CR4I, LE4I","HRY-TH (AL-4-I, CE-3-N, CE-4-C, CE-4-E, CE-4-G, CE-4-I, CR-4-I, CS-4-I, LE-4-I), HYD-TH (CE-3-S)",HRY-TH
22402,THEORY OF STRUCTURES,"CE4G, CE4I, CE5C, CE5E, CR4I, CS4I, CV6E, LE4I","TOS-TH (CE-3-A, CE-3-N, CE-4-G, CE-4-I, CE-5-C, CE-5-E, CR-4-I, CS-4-I, LE-4-I)",NULL
22403,RAILWAY AND BRIDGE ENGINEERING,"CE2A, CE4G, CE4I, CR4I, CS4I, CV4E","RBE-TH (CE-4-C, CE-4-G, CE-4-I, CR-4-I, CS-4-I)",NULL
22404,GEO-TECHNICAL ENGINEERING,"CE4C, CE4E, CE4G, CE4I, CR4I, CS4I, LE4I","GTE-TH (CE-2-A, CE-4-C, CE-4-E, CE-4-G, CE-4-I, CR-4-I, CS-4-I, LE-4-I)",GTE-TH
22412,JAVA PROGRAMMING,"AN4I, BD4I, CM4I, CO4I, CW4I, IF4I, TE4I","JPR-TH (AN-4-I, BD-4-I, CM-4-I, CO-4-I, CW-4-I, HA-4-I, IF-4-I, IH-4-I, TE-4-I)",JPR-TH
22413,SOFTWARE ENGINEERING,"AN4I, BD4I, CM4I, CO4I, CW4I, IF4I, TE4I","SEN-TH (AN-4-I, BD-4-I, CM-4-I, CO-4-I, CW-4-I, HA-4-I, IF-4-I, IH-4-I, TE-4-I)",SEN-TH
22414,DATA COMMUNICATION AND COMPUTER NETWORK,"AN4I, CM4I, CO4I, CW4I","DCC-TH (AN-4-I, CM-4-I, CO-4-G, CO-4-I, CW-4-I, HA-4-I, IH-4-I)",DCC-TH
22415,MICROPROCESSORS,"AN4I, CM4G, CM4I, CO4E, CO4G, CO4I, CW4I, IF4C","MIC-TH (AN-4-I, CM-4-C, CM-4-I, CO-4-G, CO-4-I, CW-4-I, IF-4-G)",NULL
22418,ELECTRIC MOTORS AND TRANSFORMERS,"EE4E, EE4G, EE4I, EP4I","CNE-TH (EE-2-A, EE-4-E, EE-4-G, EE-4-I, EP-4-I)",CNE-TH
22419,ELECTRICAL  POWER  TRANSMISSION AND DISTRIBUTION,"EE4G, EE4I, EP4I","EPT-TH (EE-4-E, EE-4-G, EE-4-I, EP-4-I)",EPT-TH
22420,INDUSTRIAL MEASUREMENT,"EE4E, EE4G, EE4I, EP4I, IE4I","IME-TH (EE-4-C, EE-4-E, EE-4-G, EE-4-I, EP-4-I, IE-4-I, MK-3-I)",IME-TH
22421,DIGITAL ELECTRONICS AND MICROCONTROLLER APPLICATION,"EE4I, EP4I","DEM-TH (EE-4-I, EP-4-I)",DEM-TH
22438,THEORY OF MACHINES,"AE4I, ME4C, ME4E, ME4G, ME4I","TOM-TH (AE-3-K, AE-4-I, ME-4-C, ME-4-E, ME-4-G, ME-4-I)",TOM-TH
22440,ADVANCED AUTOMOBILE ENGINES,AE4I,AAE-TH (AE-4-I),AAE-TH
22441,HEAT POWER ENGINEERING,AE4I,"HPE-TH (AE-4-G, AE-4-I)",HPE-TH
22445,FLUID MECHANICS & MECHINERY,"ME4C, ME4E, ME4G, ME4I","FMM-TH (ME-4-C, ME-4-E, ME-4-G, ME-4-I)",FMM-TH
22483,MICROCONTROLLER,HA4I,MCR-TH (HA-4-I),MCR-TH
22501,WATER RESOURCE  ENGINEERING,"CE5C, CE5E, CE5G, CE5I, CR5I, CV6E","WRE-TH (CE-5-C, CE-5-E, CE-5-G, CE-5-I, CR-5-I, CS-5-I, LE-5-I)",NULL
22502,DESIGN OF STEEL AND RCC STRUCTURES,"CC8G, CE5I, CI8G, CR5I, CS5I","DSR-TH (CE-5-I, CR-5-I, CS-5-I)",NULL
22503,"ESTIMATING, COSTING AND VALUATION","CE5E, CE5G, CE5I, CR5I, CS5I","EAC-TH (CE-5-C, CE-5-E, CE-5-G, CE-5-I, CR-5-I, CS-5-I, LE-5-I)",EAC-TH
22516,OPERATING SYSTEMS,"AN5I, BD5I, CM5G, CM5I, CO5C, CO5I, CW5I, HA5I, IF5I, TE5I","OSY-TH (AN-5-I, BD-5-I, CM-5-C, CM-5-I, CO-5-C, CO-5-E, CO-5-G, CO-5-I, CW-5-G, CW-5-I, HA-5-I, IF-5-E, IF-5-G, IF-5-I, IH-5-I, TE-5-I)",NULL
22520,ADVANCED COMPUTER NETWORK,"BD5I, CM5I, CO5I, CW5I, HA5I, IF5I","ACN-TH (BD-5-I, CM-5-I, CO-5-I, CW-5-I, HA-5-I, IF-5-I)",ACN-TH
22523,INDUSTRIAL AC MACHINES,"EE5E, EE5G, EE5I, EP5I","IAM-TH (EE-5-C, EE-5-E, EE-5-G, EE-5-I, EP-5-I)",IAM-TH
22524,SWITCHGEAR AND PROTECTION,"EE5E, EE5G, EE5I, EP5I","SAP-TH (EE-5-C, EE-5-E, EE-5-G, EE-5-I, EP-5-I)",SAP-TH
22525,ENERGY CONSERVATION AND AUDIT,"EC7G, EE5E, EE5G, EE5I, EG7G, EP5I","ECA-TH (EE-5-C, EE-5-E, EE-5-G, EE-5-I, EP-5-I)",NULL
22530,ILLUMINATION AND ELECTRIFICATION OF BUILDINGS  (ELECTIVE-I),"EE5I, EG7G, EP5I","IEB-TH (EE-5-I, EP-5-I)",NULL
22533,MOBILE AND WIRELESS COMMUNICATION,"EJ5I, ET5I, EX5I, HA5I, TE5I","MWC-TH (EJ-5-I, ET-5-I, EX-5-I, HA-5-I, TE-5-I)",MWC-TH
22558,AUTOMOBILE COMPONENT DESIGN,"AE5E, AE5I","ACD-TH (AE-5-E, AE-5-G, AE-5-I)",ACD-TH
22562,POWER ENGINEERING AND REFRIGERATION,"ME5E, ME5G, ME5I","PER-TH (ME-5-E, ME-5-G, ME-5-I)",PER-TH
22563,ADVANCED MANUFACTURING PROCESSES,"ME5G, ME5I","AMP-TH (ME-3-A, ME-5-E, ME-5-G, ME-5-I)",AMP-TH
22564,ELEMENTS OF MACHINE DESIGN,"ME5I, ME6C, ME6E, ME6G, MG8G, PG5I","EMD-TH (ME-3-A, ME-5-I, ME-6-E, ME-6-G, PG-5-I)",NULL
22566,POWER PLANT ENGINEERING  (ELECTIVE-I),ME5I,PPE-TH (ME-5-I),PPE-TH
22601,CONTRACTS & ACCOUNTS,"CC7G, CE6E, CE6G, CE6I, CI7G, CR6I, CS6I","CAA-TH (CE-6-C, CE-6-E, CE-6-G, CE-6-I, CR-6-I, CS-6-I)",NULL
22616,PROGRAMMING WITH PYTHON,"BD6I, CM6I, CO6I, CW6I, HA6I","PWP-TH (BD-6-I, CM-6-I, CO-6-I, CW-6-I, HA-6-I)",PWP-TH
